utc_iso,latitude,longitude,altitude_m,hAcc_m,speed_mps,surfaceFix,fixType,siv,uptime_min,batt_v,batt_pct
,,,,,,0,0,0,0.11,4.256,100
,,,,,,0,0,0,1.12,3.515,13
,,,,,,0,0,0,2.14,3.507,12
,,,,,,0,0,0,3.16,3.517,13
,,,,,,0,0,0,4.17,3.511,12
,,,,,,0,0,0,5.19,3.510,12
2026-02-27T01:40:04Z,,,,,,0,0,0,6.21,3.510,12
2026-02-27T01:41:05Z,,,,,,0,0,0,7.23,3.507,12
2026-02-27T01:42:06Z,,,,,,0,0,0,8.24,3.506,12
2026-02-27T01:43:06Z,,,,,,0,0,0,9.26,3.497,12
2026-02-27T01:43:11Z,34.0672836,-118.0621872,479.50,0.00,0.275,1,2,3,10.28,3.517,13
2026-02-27T01:44:08Z,34.0673714,-118.0621948,486.43,0.00,0.056,1,2,3,11.28,3.521,13
2026-02-27T01:45:08Z,34.0650978,-118.0608749,16.84,0.00,0.062,1,2,3,12.28,3.517,13
2026-02-27T01:46:08Z,34.0652275,-118.0609131,53.18,0.00,0.232,1,3,6,13.28,3.512,12
2026-02-27T01:47:08Z,34.0651627,-118.0608749,48.22,0.00,0.070,1,3,8,14.28,3.523,13
2026-02-27T01:48:08Z,34.0651360,-118.0608368,46.99,0.00,0.238,1,3,9,15.28,3.516,13
2026-02-27T01:49:08Z,34.0650482,-118.0608673,40.50,0.00,0.017,1,3,10,16.28,3.517,13
2026-02-27T01:50:08Z,34.0651016,-118.0608902,47.21,0.00,0.064,1,3,11,17.28,3.517,13
2026-02-27T01:51:08Z,34.0651474,-118.0609283,47.56,0.00,0.740,1,3,11,18.28,3.535,13
2026-02-27T01:52:08Z,34.0675392,-118.0604782,31.18,0.00,0.335,1,3,8,19.29,3.510,12
2026-02-27T01:53:08Z,34.0664787,-118.0613937,34.26,0.00,0.000,1,3,4,20.29,3.506,12
2026-02-27T01:54:09Z,34.0650940,-118.0608368,23.75,0.00,0.139,1,3,5,21.29,3.516,13
2026-02-27T01:55:08Z,34.0652924,-118.0607605,47.30,0.00,0.041,1,3,5,22.29,3.509,12
2026-02-27T01:56:08Z,34.0653687,-118.0607529,57.69,0.00,0.060,1,3,8,23.29,3.507,12
2026-02-27T01:57:08Z,34.0652428,-118.0608292,56.12,0.00,0.532,1,3,8,24.29,3.517,13
2026-02-27T01:58:08Z,34.0666847,-118.0616226,31.40,0.00,12.817,1,3,6,25.29,3.507,12
2026-02-27T01:59:09Z,34.0651474,-118.0607224,48.35,0.00,0.033,1,3,8,26.29,3.506,12
2026-02-27T01:00:08Z,34.0652084,-118.0607376,55.14,0.00,0.005,1,3,9,27.29,3.520,13
2026-02-27T02:01:08Z,34.0646935,-118.0607147,51.80,0.00,0.650,1,3,9,28.29,3.511,12
2026-02-27T02:02:08Z,34.0643768,-118.0638962,46.52,0.00,10.220,1,3,10,29.29,3.517,13
2026-02-27T02:03:08Z,34.0641747,-118.0664215,46.37,0.00,4.190,1,3,11,30.29,3.507,12
2026-02-27T02:04:08Z,34.0684471,-118.0708847,45.83,0.00,18.860,1,3,11,31.29,3.505,12
2026-02-27T02:05:08Z,34.0719719,-118.0710068,51.57,0.00,13.921,1,3,13,32.29,3.505,12
2026-02-27T02:06:08Z,34.0721397,-118.0624771,48.63,0.00,12.831,1,3,15,33.29,3.515,13
2026-02-27T02:07:08Z,34.0722084,-118.0561905,51.64,0.00,6.531,1,3,15,34.29,3.504,12
2026-02-27T02:08:08Z,34.0714989,-118.0534134,47.66,0.00,4.248,1,3,15,35.29,3.501,12
2026-02-27T02:09:08Z,34.0753937,-118.0536346,51.44,0.00,15.418,1,3,15,36.29,3.506,12
